,fetal_skin_n,fetal_skin_p,fetal_skin_l,organoid_n,organoid_p,organoid_l
401,IL32,0.0,3.5396013,FZD2,0.0,1.6646832
402,TRA2B,0.0,0.8821666,MEX3A,0.0,1.3173792
403,NRROS,0.0,6.717923,TTC19,0.0,1.3214242
404,MAN1A1,0.0,2.0935102,SRP14,0.0,0.37969282
405,TCIRG1,0.0,2.3064172,FAT1,0.0,1.3620971
406,PLAC9,0.0,1.2152566,C1R,0.0,1.3149368
407,NLRP3,0.0,7.287523,FBXO22,0.0,1.4537611
408,NINJ1,0.0,1.3496134,NCS1,0.0,2.5036416
409,AP1B1,0.0,2.1246743,PEBP1,0.0,0.57619363
410,FNDC1,0.0,2.290414,AC004556.1,0.0,2.6425636
411,PSMD9,0.0,1.5890166,YRDC,0.0,2.6144032
412,MYH9,0.0,1.3921869,MARCH9,0.0,2.777775
413,SERPING1,0.0,1.1995165,ESD,0.0,0.6261285
414,RBKS,0.0,3.8589134,FGFR1,0.0,0.8445994
